年齢,人口男,人口女,人口計
0,2143,2182,4325    
1,2248,2156,4404
2,2325,2239,4564
3,2222,2108,4330
4,2282,2108,4390
5,2269,2136,4405
6,2138,1937,4075
7,2158,2001,4159
8,2121,1878,3999
9,1995,1956,3951
10,2189,1937,4126
11,1884,1859,3743
12,1917,1943,3860
13,1919,1834,3753
14,1973,1895,3868
15,2009,1899,3908
16,2082,2049,4131
17,2095,2043,4138
18,2313,2344,4657
19,2625,2647,5272
20,2871,2888,5759
21,3064,3286,6350
22,3351,3778,7129
23,3814,4351,8165
24,4080,4456,8536
25,3889,4336,8225
26,4280,4652,8932
27,4076,4328,8404
28,4156,4254,8410
29,4046,4164,8210
30,4199,4085,8284
31,4001,4069,8070
32,4129,4120,8249
33,4178,4014,8192
34,4327,4051,8378
35,4393,4148,8541
36,4355,4077,8432
37,4283,4003,8286
38,4448,4002,8450
39,4420,4123,8543
40,4424,4058,8482
41,4487,4152,8639
42,4636,4272,8908
43,4617,4372,8989
44,4761,4640,9401
45,4966,4675,9641
46,4771,4514,9285
47,4895,4415,9310
48,4555,4293,8848
49,4491,4226,8717
50,4377,4011,8388
51,4366,3893,8259
52,3492,3159,6651
53,4026,3851,7877
54,3886,3469,7355
55,3551,3381,6932
56,3429,3227,6656
57,3321,3028,6349
58,3253,2973,6226
59,3125,2918,6043
60,3169,2900,6069
61,2703,2650,5353
62,2854,2783,5637
63,2915,2807,5722
64,2952,2946,5898
65,3051,2909,5960
66,3175,3062,6237
67,3345,3220,6565
68,3616,3576,7192
69,3804,3873,7677
70,3915,4060,7975
71,3748,3938,7686
72,2235,2503,4738
73,2190,2654,4844
74,2760,3155,5915
75,2659,3151,5810
76,2557,3257,5814
77,2438,3031,5469
78,2035,2778,4813
79,1745,2363,4108
80,1700,2544,4244
81,1674,2624,4298
82,1623,2640,4263
83,1466,2474,3940
84,1201,2163,3364
85,1170,2049,3219
86,957,1836,2793
87,785,1601,2386
88,689,1509,2198
89,588,1295,1883
90,447,1103,1550
91,365,966,1331
92,275,784,1059
93,242,662,904
94,133,503,636
95,89,371,460
96,79,333,412
97,51,203,254
98,30,152,182
99,16,113,129
100,14,69,83
101,12,55,67
102,7,32,39
103,1,18,19
104,2,11,13
105,1,4,5
106,1,4,5
107,0,2,2
108,0,2,2
109,0,1,1
